id,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,label,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,now_timegap
30,93,78,40.3,05_23_03:00:07,0,-464.05322,108.35564,0.7942143,16.245594,11.242584,3.2137105,0.90568775,9.368053,-2.2782338,7.181598,0.85459244,-1.1679548,-10.877348,3.1
31,96,80,70.3,05_23_03:00:07,0,-470.7981,107.304535,6.38616,23.073406,6.0854263,-0.3236733,-1.3435457,11.445377,-0.57485354,3.7536168,-0.75250363,2.378111,-7.1679945,3.2
32,100,83,70.7,05_23_03:00:07,0,-412.1962,110.55437,9.700968,32.79973,2.2034194,2.3858383,-5.3799915,-2.6970415,-7.3925257,3.718276,-2.1094863,-0.7936345,-6.696083,3.3
33,103,85,79.3,05_23_03:00:07,0,-433.59723,108.80888,16.00241,31.692024,3.4127457,1.1510103,-5.186186,4.414954,-9.412296,1.0590765,-4.6057405,-2.9792755,-7.111966,3.4
34,105,88,46.1,05_23_03:00:07,0,-438.84778,101.031876,9.768567,30.65091,2.3502667,3.848629,-6.4404645,3.3737206,-3.0320835,2.5828981,-3.3970323,-5.0251875,-7.4880676,3.5
35,108,90,49.5,05_23_03:00:07,0,-426.85547,101.57706,6.4059205,25.17566,3.8424969,3.2623844,-0.84978026,3.9631505,-2.142685,7.429029,1.921942,-1.3315299,-3.0022004,3.6
36,111,93,57.9,05_23_03:00:07,0,-416.8157,112.060196,2.281105,31.756233,10.93111,-0.45604873,0.5815953,0.12379673,-6.9128103,5.082691,3.7197595,-3.8339567,-2.8572545,3.7
37,114,95,72.3,05_23_03:00:07,0,-434.82056,114.83533,3.248127,27.986174,8.323663,3.1771026,-0.3224483,-1.0689315,4.410161,10.017491,0.19604707,6.447733,0.4497757,3.8
38,117,98,63.7,05_23_03:00:07,0,-442.0194,120.69519,4.4764447,32.468636,12.410112,-1.1531093,-3.0911374,0.8822633,2.5248914,3.8819847,-3.014964,-0.54486823,-1.4311895,3.9
39,120,100,51.3,05_23_03:00:07,0,-448.84613,120.78058,0.5052055,30.324057,17.15716,0.008745074,1.0875835,1.5551505,-4.9793787,1.7037958,0.027208805,-4.1176205,-5.997056,4
40,123,103,55.4,05_23_03:00:07,0,-461.25052,114.93823,-2.1309981,21.98264,11.065592,-1.2819356,3.7174778,6.260253,-1.8256557,7.05941,2.2084584,4.2680235,-5.62436,4.1
41,126,105,34.8,05_23_03:00:07,0,-476.15472,110.16876,3.015586,25.996658,18.36079,9.223796,8.754671,12.10845,3.6752787,7.2754602,-0.80187726,-1.9789435,-5.36412,4.2
42,129,108,47.5,05_23_03:00:07,0,-480.59827,111.86029,6.866871,25.389194,13.020036,0.52103364,11.685797,14.950565,2.4319701,3.635223,1.3263968,0.7040198,-3.019606,4.3
43,132,110,34.5,05_23_03:00:07,0,-469.5562,115.72305,5.0194635,24.05485,14.256006,2.6848536,3.1541653,12.666784,-2.8558915,3.0888844,-2.9136128,-1.1868593,-5.143714,4.4
44,135,113,59.2,05_23_03:00:07,0,-475.52457,115.03096,9.5309105,24.693848,20.471226,4.8879356,8.463597,14.641924,1.9917078,-0.7167774,-0.4070111,-3.3158107,-8.388951,4.5
45,138,115,28.2,05_23_03:00:07,0,-481.5429,114.791016,7.438452,22.988874,17.038902,5.1641903,5.353241,12.254139,-0.5084775,6.457492,4.251364,0.83968616,-9.804508,4.6
46,141,118,52,05_23_03:00:07,0,-480.83636,110.88329,5.621168,23.868729,18.21553,10.05454,4.608576,10.448841,2.5958166,2.9425514,-2.693831,-2.1505704,-9.740976,4.7
47,144,120,35.5,05_23_03:00:07,0,-477.589,110.34442,15.936301,27.563417,15.486343,6.180459,2.7280164,7.240534,-3.4278731,1.2607538,-0.4494741,4.590438,-4.552457,4.8
48,147,123,50.6,05_23_03:00:07,0,-462.68222,113.11716,21.092514,34.204956,13.186103,10.680746,-0.67928815,9.150549,2.1151447,5.633106,3.98041,3.76771,-9.515118,4.9
49,150,125,36.5,05_23_03:00:07,0,-446.74155,104.30173,17.391178,35.161858,1.1903316,10.010214,1.3413638,4.691525,-3.2380638,-2.1671796,-9.0303955,-2.4490073,-15.832432,5
50,153,128,65,05_23_03:00:07,0,-451.6845,115.95744,18.472576,33.644127,5.2769356,2.0016215,-0.22945368,6.0382047,0.55830073,2.0561707,-2.0715501,-1.8389502,-5.1597576,5.1
51,156,130,63.1,05_23_03:00:07,0,-377.93164,78.67093,7.8250303,39.231003,10.442217,5.128476,1.750547,2.086227,-18.46301,10.817002,-3.7337875,-3.107468,-4.925688,5.2
52,159,133,67.3,05_23_03:00:07,0,-452.992,117.068985,21.959335,31.979202,3.5052958,7.7764006,8.7098465,8.694332,-2.692959,7.588416,0.4445417,0.045217276,-11.48447,5.3
53,162,135,68.1,05_23_03:00:07,0,-413.8955,69.41,19.202093,31.98019,8.922047,1.7466118,6.117071,8.867567,-1.1221958,12.132553,-2.7416482,-2.1507337,-10.797617,5.4
54,165,138,138.6,05_23_03:00:07,0,-371.73584,71.64162,-5.4698057,41.28042,-2.4831696,7.908272,-2.3545482,8.776165,-9.435736,2.0796359,7.7217255,10.37138,-16.320408,5.5
55,168,140,170.6,05_23_03:00:07,1,-396.71228,73.578064,4.490694,48.90129,0.8179942,3.3591428,11.82769,6.5244093,-4.273718,-0.91217196,3.7842078,9.61154,-14.113754,5.6
56,171,143,191.4,05_23_03:00:07,1,-414.97345,99.75828,16.346123,40.75792,-2.4274855,6.106831,-6.7845354,-2.7907786,-9.31132,-0.18179178,-6.5938296,2.5678184,-10.063139,5.7
57,174,145,167.2,05_23_03:00:07,1,-408.55896,86.9417,-6.7328243,40.960808,1.9768878,16.192635,1.2339888,3.639443,-9.689985,-0.38780785,-1.8374419,7.6217484,-9.28005,5.8
58,177,148,152.5,05_23_03:00:07,1,-257.2018,116.30823,-41.051678,-4.8587265,-2.5729756,-6.7819166,-5.666773,7.7694273,-11.141802,-7.598873,-3.8147202,0.5452299,-2.43145,5.9
59,180,150,173.8,05_23_03:00:07,1,-382.34674,127.38376,-11.489553,-2.1419795,-5.98789,7.5486736,3.1311772,10.191841,-2.0133886,3.6066298,-6.7542524,-6.333918,-6.535332,6
60,4,2,14.7,05_23_03:00:37,0,-396.18307,86.763916,-7.3709903,31.00539,-0.5935773,5.0430193,-5.798926,-6.922779,-16.851082,-3.6651936,-2.041899,6.2472343,-6.0983295,0.1
61,7,4,12.7,05_23_03:00:37,0,-379.83545,84.29384,-13.123966,35.104164,7.3523574,7.0828934,-8.549685,-8.295148,-16.244091,3.2361934,-3.0329828,1.3749607,-14.126043,0.2
62,10,6,14.1,05_23_03:00:37,0,-334.6509,81.19472,-7.755821,22.132168,2.5554914,14.362927,-12.495098,-1.5964082,-11.547343,-0.34542167,-12.615932,-4.272991,-14.46529,0.3
63,13,8,29.7,05_23_03:00:37,0,-389.5593,86.34444,-10.771491,27.964687,-4.970967,11.110987,2.839767,-0.45285034,-5.5663385,10.470652,2.5161955,-3.543216,-13.705449,0.4
64,16,10,51.3,05_23_03:00:37,0,-351.53748,97.79995,-4.6157284,37.553757,4.6298065,14.049122,-1.139838,-2.3683355,-10.989649,7.2856245,-5.072234,-10.822042,-11.856323,0.5
65,19,12,61.4,05_23_03:00:37,0,-352.41632,89.424515,-1.2525154,22.814976,6.4856973,7.9887486,-2.070431,-9.70314,-12.097724,4.471688,-3.122328,-5.750085,-13.224793,0.6
66,22,14,30,05_23_03:00:37,0,-399.18546,102.40814,4.5688615,28.986494,-2.0195866,11.959896,1.4640586,5.4879074,0.111465305,11.639177,6.790973,2.9240232,-10.378866,0.7
67,25,16,56.7,05_23_03:00:37,0,-361.55716,85.7086,22.562405,29.326607,-7.1085644,14.861145,-3.6164887,1.5475307,-14.349574,5.9993944,-3.181819,5.429338,-10.443373,0.8
68,28,18,18.5,05_23_03:00:37,0,-328.2659,90.29646,-4.9966626,31.021437,5.0854583,12.234053,-0.2699368,-16.588692,-12.827051,8.67397,6.681679,-5.12238,-7.6513433,0.9
69,31,20,43.9,05_23_03:00:37,0,-375.33835,96.26678,6.650654,28.461235,13.195334,15.71714,7.932686,3.5117996,-6.0946913,6.2909155,-2.9671,-9.666149,-17.172068,1
70,33,22,55.9,05_23_03:00:37,0,-420.30255,88.2012,13.487072,25.932379,0.5933003,2.420998,3.7254567,11.349894,2.1582947,11.558257,2.1867535,7.37148,-10.642313,1.1
71,37,24,36.5,05_23_03:00:37,0,-402.2274,94.49811,0.8989788,39.928596,-0.8320691,6.3603706,0.5406042,1.0645933,-0.8076706,14.013994,-7.161058,-3.8809013,-5.43843,1.2
