id,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,now_timegap,label
30,-490.49603,105.618164,-0.055940684,30.76341,13.639048,5.0933867,-3.376534,-7.920867,-0.8285159,6.5338635,-17.512531,-2.7381606,-10.250715,93,78,110.8,05_22_14:48:48,3.1,0
31,-469.2293,78.360214,-7.9660997,27.95306,26.427538,10.770469,3.5203876,-4.6928706,-1.6176128,5.460182,-24.27193,-3.543914,-7.581797,96,81,138.4,05_22_14:48:48,3.2,0
32,-490.6385,83.07123,11.386553,23.33165,17.22325,5.3025856,0.9247711,4.382246,-0.15516841,7.6541805,-21.470734,0.29721135,2.0694833,99,83,140.5,05_22_14:48:48,3.3,0
33,-489.505,82.27062,-10.84845,37.365818,26.99659,-1.5599862,2.9339485,3.6581802,2.508891,4.8506517,-11.613047,-13.934377,-2.5365286,102,86,61.4,05_22_14:48:48,3.4,0
34,-466.23453,41.962494,25.35263,-4.2610083,40.768116,-3.0150542,2.1744342,5.434718,-12.678877,3.4883037,-4.4096622,-0.920214,-2.100933,105,88,95,05_22_14:48:48,3.5,0
35,-471.58667,65.43359,-6.455059,17.040691,22.156242,4.724039,3.0482898,2.07157,-5.038603,12.763708,-5.432182,-9.838427,-6.7644157,108,90,80.3,05_22_14:48:48,3.6,0
36,-475.25464,72.98074,-7.9720864,22.13204,22.262028,3.9050403,11.715108,5.5799026,-2.0392632,7.1069508,-15.017122,-5.6094384,-18.959997,111,93,118.5,05_22_14:48:48,3.7,0
37,-507.23227,89.919846,-11.069042,30.240103,22.892467,3.633089,-2.195745,-1.2078019,-1.5336702,5.2253647,-9.690325,-3.619948,-11.348595,114,96,43.3,05_22_14:48:48,3.8,0
38,-482.99237,70.06676,4.02893,20.188099,14.660194,0.94449234,-6.188172,1.3928273,-4.0752425,4.03336,-5.1678047,-9.893325,-2.9243574,117,98,131.9,05_22_14:48:48,3.9,0
39,-482.5464,71.59868,-3.9888966,23.287655,18.680283,-9.049203,-1.5317876,3.9071631,-1.5336155,7.335502,-7.7240095,-3.0842657,-4.041507,120,101,68.2,05_22_14:48:48,4,0
40,-454.3193,21.186848,27.78481,6.628362,28.310852,3.8227248,-5.1301475,8.744945,-1.9392948,-1.8843627,-15.471419,0.5332431,-7.00078,123,103,143,05_22_14:48:48,4.1,0
41,-446.2712,32.35346,20.227932,5.038265,36.05928,-3.94073,2.559029,0.2707045,-6.388208,0.81807715,-5.9629407,-10.858069,-5.672209,126,105,76.5,05_22_14:48:48,4.2,0
42,-450.32016,52.497696,0.46126807,14.600829,16.0073,-1.8546901,-13.604729,5.1663475,-2.0944223,8.565344,-4.2075233,-4.0319915,-13.828045,129,108,116.6,05_22_14:48:48,4.3,0
43,-454.41934,61.025726,-0.45073187,21.421455,5.863323,1.3593924,-22.586796,-0.46655774,-8.567282,5.8904476,2.524966,9.327494,-18.580832,132,110,93.6,05_22_14:48:48,4.4,0
44,-471.42538,71.89824,-1.6844474,24.716541,21.003178,-1.9990404,-13.010117,10.21215,-13.226719,-4.3447,-8.971649,7.0109224,-8.311943,135,113,105.8,05_22_14:48:48,4.5,0
45,-469.05115,67.83945,-10.711401,23.054033,28.84858,1.4105265,-7.3653507,8.0954075,-16.041204,3.634453,0.03377843,7.8165264,-17.69271,138,116,26.2,05_22_14:48:48,4.6,0
46,-475.4526,84.45228,-23.472233,16.860523,12.315678,-3.3753228,3.5760005,12.404522,-1.6333251,-4.3132715,5.9263062,3.620473,-16.817516,141,118,89.4,05_22_14:48:48,4.7,0
47,-461.03406,42.287857,16.268782,14.70292,25.882307,-10.013451,0.48482344,11.023455,-10.850734,-21.62473,-1.1915822,8.891849,-2.5422213,144,121,108.9,05_22_14:48:48,4.8,0
48,-455.049,45.453064,22.556332,5.6595287,39.90794,-10.6988,1.313067,6.508616,-4.734384,-13.005099,-3.2727115,2.6953945,-16.876335,147,123,111.8,05_22_14:48:48,4.9,0
49,-466.6301,78.367195,-5.4253387,18.782442,12.8040085,-1.6545125,-10.683379,9.29901,3.5087311,-3.3408973,-5.456295,-4.0273542,-16.699743,150,125,109.5,05_22_14:48:48,5,0
50,-466.78558,75.768196,-5.6965985,24.81218,15.44787,-3.706739,-13.661372,15.885781,7.081052,-3.1896849,-5.280829,-2.2193909,-19.099178,153,128,78.8,05_22_14:48:48,5.1,0
51,-462.6801,73.50246,-10.764444,23.470161,11.863743,-0.45480078,-7.6500587,7.955205,2.046935,4.084751,-2.438642,-8.3216715,-17.256208,156,130,120.4,05_22_14:48:48,5.2,0
52,-469.34885,73.658325,-9.575291,18.378557,3.541275,-0.878879,-10.900032,10.899506,-1.551494,4.1848693,3.2465916,-2.6914694,-18.404232,159,133,70.3,05_22_14:48:48,5.3,0
53,-456.4344,78.34447,-7.9519587,17.973864,13.965906,3.9274766,-5.882623,16.238306,1.7942337,1.7383707,-10.252239,-7.547202,-18.415016,162,136,94.8,05_22_14:48:48,5.4,0
54,-463.61926,68.38431,-14.942577,19.929539,19.17097,-0.44481575,-5.2347913,12.333462,-2.2355886,-6.803644,-10.077249,-5.692107,-20.290695,165,138,167.4,05_22_14:48:48,5.5,1
55,-424.96954,55.003143,-9.280466,23.90374,12.196016,0.6607642,-4.24485,-0.14229679,-11.118208,-6.1342797,0.5516292,-1.6598731,-9.100959,168,140,130.3,05_22_14:48:48,5.6,1
56,-466.9075,63.242264,-15.024082,13.712929,12.967348,-0.9940209,-11.980621,-2.6714134,-8.537642,7.5406904,0.3014499,4.2392235,-11.211903,171,143,196.2,05_22_14:48:48,5.7,1
57,-479.70892,73.325005,-27.933495,25.181192,10.27219,3.1754334,-5.5111113,8.917693,-11.351677,-8.029354,1.457272,6.981431,-5.2971354,174,145,99.6,05_22_14:48:48,5.8,1
58,-483.0591,83.2921,-23.928679,30.673126,19.895153,-6.9826846,-9.941521,10.226326,-11.30101,-2.3678238,-4.1323366,-2.4903362,-6.533395,177,148,130.3,05_22_14:48:48,5.9,1
59,-418.1446,81.7426,24.104942,-3.776942,23.726564,-0.9814673,10.589346,0.6554036,0.32159004,-0.06189865,-3.5817745,-3.7955937,-10.147142,4,3,54.6,05_22_14:49:17,0.1,0
