id,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,now_timegap,label
0,-567.8812,107.10265,-4.02036,11.019674,3.646152,-1.4753137,-0.048334833,14.246822,1.0549743,2.8459527,-2.218044,1.7255123,-2.931875,4,3,34.2,05_21_16:36:16,0.1,0
1,-560.6244,112.439926,0.9768634,9.015552,5.155832,-4.719981,-4.348769,14.107987,2.018833,-0.06205657,0.905392,4.1481433,-8.524533,7,6,51.3,05_21_16:36:16,0.2,0
2,-564.67957,107.575134,-1.2307811,13.370663,-0.47134912,-2.0666952,4.898734,16.145914,3.6711955,5.3663554,-0.0016151369,1.8306262,-7.027588,10,8,23.3,05_21_16:36:16,0.3,0
3,-562.9462,113.165985,0.3337031,8.749129,4.102772,0.91464543,-0.3075701,9.143213,-2.6030757,4.84441,-0.6552866,0.19118474,-6.232544,13,11,50.1,05_21_16:36:16,0.4,0
4,-539.38995,115.10785,-3.7846184,23.16443,10.748792,3.5188408,3.4260035,10.638276,4.4011564,2.013526,-3.5326715,0.8694271,-5.9824705,16,13,72.6,05_21_16:36:16,0.5,0
5,-502.45682,102.7832,-25.887558,35.408813,22.10567,2.0941205,5.847231,12.619375,-0.14872319,12.606407,5.0582323,4.5520635,-9.4221,19,16,76.7,05_21_16:36:16,0.6,0
6,-452.6854,90.47957,-42.616127,47.921497,22.161064,1.2033485,8.288124,19.963804,-0.16979718,5.8026733,0.40604407,11.02227,-3.5093384,22,18,52.9,05_21_16:36:16,0.7,0
7,-457.6982,92.99519,-21.394789,43.16147,19.30005,6.897675,-1.487958,10.0815735,-1.7026402,16.56009,3.3614154,-5.6824017,-2.5364401,25,21,120.2,05_21_16:36:16,0.8,0
8,-443.12375,81.96821,-29.380016,34.860638,15.903177,5.920402,-4.673687,14.356287,17.973269,13.259009,-10.749485,0.5266599,6.5132995,28,23,115,05_21_16:36:16,0.9,0
9,-459.48273,77.538445,-28.31388,42.32704,13.568655,13.017883,1.9725153,7.324253,18.130919,10.93977,-13.383009,3.056947,6.0535936,31,26,60.2,05_21_16:36:16,1,0
10,-491.7913,99.70027,-9.697408,34.818245,6.531718,8.27803,4.299843,12.076609,11.402775,12.944004,1.1327271,3.572278,1.8547195,34,28,21.2,05_21_16:36:16,1.1,0
11,-483.76434,83.352066,-27.447727,36.8956,9.990243,11.070667,6.3164616,3.965835,7.3140397,17.921824,-7.703582,2.3362846,10.253717,37,31,124.1,05_21_16:36:16,1.2,0
12,-481.1225,79.47414,-37.6768,37.544575,13.976637,3.353889,9.938692,14.04562,6.332317,14.99128,-1.3492737,-0.602787,2.1307268,40,33,63.3,05_21_16:36:16,1.3,0
13,-502.7413,98.79345,-17.106424,36.958984,12.105848,2.0979471,10.405742,13.078189,-2.9634664,5.9423904,10.900436,9.589226,-1.9831553,43,36,125,05_21_16:36:16,1.4,0
14,-500.17,94.35283,-23.759127,42.984474,17.900726,1.0321915,12.6236515,14.475531,-3.1728582,8.59878,8.105425,2.854565,-2.4397516,46,38,41.2,05_21_16:36:16,1.5,0
15,-487.5704,91.64663,-40.111454,33.10486,10.388041,3.7151954,7.9653425,5.985609,2.43295,16.744312,4.6570168,-2.6515574,-6.544573,49,41,42,05_21_16:36:16,1.6,0
16,-500.9222,90.54806,-31.885967,39.796516,20.49527,1.0443937,-0.50165284,9.574631,-3.3280478,7.5891333,1.6152796,2.2369173,-2.8586402,52,43,74.4,05_21_16:36:16,1.7,0
17,-486.9818,96.619675,-43.43817,32.295616,16.599907,2.609484,0.34949005,13.471667,9.590464,9.157143,0.8840627,3.6716807,-3.2296486,55,45,61.4,05_21_16:36:16,1.8,0
18,-499.3378,89.343155,-29.919506,41.598885,12.303925,-5.1661215,-8.23233,12.097277,12.074917,3.8313518,-5.106245,4.488326,-2.0224898,58,48,71.2,05_21_16:36:16,1.9,0
19,-476.13092,81.48634,-53.74941,28.330147,10.861017,-2.3045197,0.5957643,17.235512,2.1321626,3.709641,-4.87714,3.959077,-9.793747,61,51,57.3,05_21_16:36:16,2,0
20,-487.14417,88.33206,-36.607735,31.935972,11.416748,-1.1858722,-2.615454,17.02768,6.2432804,-4.773387,-1.71045,10.417711,-3.5789013,64,53,115.6,05_21_16:36:16,2.1,0
21,-497.06674,87.31948,-38.517242,31.80975,10.954723,-8.01093,-7.7552013,19.87228,7.6940536,-7.793289,2.6619577,9.531563,-3.133244,67,56,31.2,05_21_16:36:16,2.2,0
22,-480.9917,85.818985,-53.850235,26.177212,19.44365,5.6752615,-0.94449365,16.932623,-0.71921104,-6.159483,4.4911127,10.847459,-9.102065,70,58,120.8,05_21_16:36:16,2.3,0
23,-497.64975,92.14532,-35.22862,33.02449,11.100384,-3.720202,-3.8930247,19.683693,-4.260345,-7.277828,2.7788434,7.645715,-6.178896,73,61,46.9,05_21_16:36:16,2.4,0
24,-501.73264,87.676025,-37.409676,33.893787,18.47364,-1.4265118,-2.3834019,18.436058,-3.8454142,-11.541003,1.7959523,9.71986,-7.2088337,76,63,49.2,05_21_16:36:16,2.5,0
25,-500.4568,91.03435,-39.668118,32.07786,13.614523,0.0705328,1.6089592,17.056826,-5.983959,-7.188714,0.88817334,9.934349,-8.754937,79,65,74.3,05_21_16:36:16,2.6,0
26,-508.3912,88.54671,-32.261726,36.507153,15.428785,-3.6536934,3.2195342,15.514075,-0.7386627,-2.7188926,-2.5408683,7.375532,-5.477914,82,68,76.9,05_21_16:36:16,2.7,0
27,-493.92392,88.91338,-43.85559,33.33956,19.326935,-0.35465938,-6.5733557,21.76337,-6.0773735,-7.8880033,-1.2126176,7.9510193,-0.304675,85,70,51.3,05_21_16:36:16,2.8,0
28,-496.63297,92.16284,-39.010605,26.958744,17.253284,7.6080856,1.4163227,14.407387,0.71321553,1.9810576,10.109503,11.070617,-4.589385,88,73,22.9,05_21_16:36:16,2.9,0
29,-489.92914,88.8177,-33.54534,36.590443,16.136423,-6.9084153,-3.5800762,22.652317,-6.1835,-9.868475,2.9527898,10.633128,-6.156043,91,76,25.1,05_21_16:36:16,3,0
30,-493.21054,91.48158,-28.04008,39.465843,14.5880375,-5.319764,-0.6525669,19.045444,-10.1898575,-4.6477184,3.9078321,9.914946,-6.480466,94,78,46.9,05_21_16:36:16,3.1,0
31,-499.61404,92.77428,-36.271545,21.18111,6.7128997,4.1560197,10.4508705,19.865711,6.9464493,4.4722757,5.092336,13.805931,-0.48149544,97,81,86.6,05_21_16:36:16,3.2,0
32,-491.84402,92.41615,-37.12239,35.757156,21.027716,0.71177405,0.15891548,24.223948,-2.137587,-4.8339434,7.335635,7.140279,-3.373681,100,83,62.4,05_21_16:36:16,3.3,0
33,-519.7435,92.2152,-18.052006,33.88289,13.452127,3.6061528,2.08425,11.660998,1.3055788,-0.45522016,3.9814677,10.038824,-8.199942,103,86,25.1,05_21_16:36:16,3.4,0
34,-500.69403,87.58216,-29.37708,35.832535,10.772274,5.737241,7.034045,10.802784,3.193386,2.5608492,11.377634,15.53195,-4.2874484,106,88,66.5,05_21_16:36:16,3.5,0
35,-500.33337,87.92735,-35.456924,27.727814,14.542105,11.855877,2.6109304,13.99692,2.5242114,-4.6927443,4.160778,13.139765,-2.1732805,109,91,68.6,05_21_16:36:16,3.6,0
36,-499.19998,99.747665,-33.719463,28.303654,19.972614,9.302015,1.7309892,11.530437,2.6139996,-2.3103905,11.842208,12.151006,-10.820808,112,93,41.8,05_21_16:36:16,3.7,0
37,-498.88565,90.0155,-38.814964,31.335297,16.391113,12.864364,5.7570295,12.171713,-1.876899,-1.8108495,12.069737,16.917622,-5.020829,115,96,85.6,05_21_16:36:16,3.8,0
38,-505.847,98.212975,-26.742931,23.796982,12.209829,6.880411,3.830083,13.607791,-1.034503,-2.0341449,5.8161964,14.257429,-3.162288,118,98,64.4,05_21_16:36:16,3.9,0
39,-502.1803,99.897766,-30.304962,27.198483,12.629127,7.7183785,4.911682,11.7708,-1.9056324,-3.8218727,7.777456,10.428954,-4.4726257,121,101,117.8,05_21_16:36:16,4,0
40,-516.2293,101.19619,-22.122887,28.155167,14.848587,1.8180459,8.769941,14.56418,-1.4512141,-7.719184,5.8494434,15.486488,-3.314816,124,103,140.9,05_21_16:36:16,4.1,0
41,-485.02298,96.95299,-39.723236,28.979523,18.40171,7.4412785,3.1353664,17.377491,-2.8797088,-7.9646254,7.3882475,14.889368,-5.45934,127,106,185,05_21_16:36:16,4.2,0
42,-525.2063,103.210365,-8.312661,31.559868,12.927152,5.4790382,6.360026,14.75803,0.37235805,0.7499253,2.9794111,8.216055,-3.7896614,130,108,243.3,05_21_16:36:16,4.3,0
43,-473.79724,95.001114,-46.49536,31.29545,15.630732,-1.0214664,-0.89245677,14.962154,-8.869198,-5.208647,10.931744,15.845808,-1.1463282,133,111,202.9,05_21_16:36:16,4.4,0
44,-504.3894,105.068695,-25.172188,30.358608,10.549627,0.23503861,3.0692735,15.008532,-1.5694833,-3.5672898,2.8776555,9.015092,-6.334986,136,113,97.3,05_21_16:36:16,4.5,0
45,-498.33716,97.98882,-29.965656,25.076565,12.066616,11.054161,6.8254194,17.954613,1.7536613,2.2417755,9.306999,16.237526,-1.3091743,139,116,52.5,05_21_16:36:16,4.6,0
46,-480.1116,92.9312,-44.413723,29.941273,15.614962,5.5722494,0.094418645,12.550476,-1.6356235,1.1168145,11.272924,17.750711,1.192928,142,118,64,05_21_16:36:16,4.7,0
47,-511.247,96.821144,-20.458557,33.784523,18.7038,8.769206,2.8473067,8.542089,-1.6214463,4.417095,6.6936774,8.499191,-10.753692,145,121,36.5,05_21_16:36:16,4.8,0
48,-497.33835,91.71123,-32.23602,32.783066,18.603539,11.371466,4.39361,13.391898,-1.1974216,-1.9954393,7.476717,15.038675,-7.2350636,148,123,60.5,05_21_16:36:16,4.9,0
49,-510.30252,92.79959,-25.194801,32.3514,11.428005,5.2643957,4.2926292,9.570846,-5.910013,0.068883955,6.55812,12.798323,-3.733317,151,126,76.5,05_21_16:36:16,5,0
50,-498.74228,94.833916,-29.692234,31.479359,16.221415,11.663226,1.4543669,15.133411,3.9098651,-2.9062843,8.780533,22.313862,-5.940598,154,128,88.1,05_21_16:36:16,5.1,0
51,-496.12534,98.52516,-37.818897,28.972084,17.808212,14.503752,4.9200597,10.376642,1.5611067,2.6795266,14.0107765,15.655302,-5.5368395,157,131,63.3,05_21_16:36:16,5.2,0
52,-502.52362,104.782425,-32.523197,22.588436,18.968147,12.007751,2.6875985,4.9204636,-5.1298885,5.097105,7.8882055,9.004959,-10.948222,160,133,45.3,05_21_16:36:16,5.3,0
53,-493.51672,101.57837,-29.035107,24.946049,15.420122,9.703585,-0.088593304,6.2659974,-8.153755,-2.1376925,13.67243,10.199421,-7.715331,163,135,145.8,05_21_16:36:16,5.4,1
54,-436.7825,54.438572,-31.800056,36.22202,0.84691715,8.7456875,8.077568,9.747522,-8.813446,-2.30544,6.0466204,20.792702,-15.587543,166,138,308.5,05_21_16:36:16,5.5,1
55,-506.07758,96.36098,-15.28479,34.56009,6.140138,4.202558,3.44161,7.5136127,-4.054302,4.6400867,9.917557,10.65951,-8.78815,169,141,248,05_21_16:36:16,5.6,1
56,-476.60132,85.607,-39.6283,25.954517,9.485771,16.868296,5.0937624,15.611668,-6.608242,-3.7570915,3.224742,13.14765,-12.047358,172,143,238.3,05_21_16:36:16,5.7,1
57,-251.92802,114.74457,-45.06373,-27.041832,-14.194934,-7.3831177,-20.09032,13.929491,-3.3897774,6.8186164,-7.6892686,-5.190545,-0.78175926,175,146,257.6,05_21_16:36:16,5.8,1
58,-562.4166,112.25894,6.4596105,9.262218,1.7955915,-7.8155127,-7.2772136,9.114714,8.210421,4.30199,-0.35868275,1.1276402,-4.8244667,3,3,52.7,05_21_16:36:52,0.1,0
59,-563.0564,104.58301,-0.42580295,15.577685,4.2437544,2.5927806,5.625419,11.033403,1.5193771,-1.2074943,-1.7094339,1.7789062,-9.826452,6,5,32.1,05_21_16:36:52,0.2,0
