id,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,now_timegap,label
0,-508.25803,126.048386,11.213276,18.383163,5.326477,-4.434556,1.6726785,2.4203892,-2.3765235,-6.544164,1.0899814,-4.213379,-9.482645,3,3,47.5,05_22_20:20:07,0.1,0
1,-505.75854,130.38287,9.34385,17.786736,0.36508223,-2.5581653,-1.3763313,2.4794612,-4.6355004,-2.485383,-0.31700557,5.7187977,-4.926301,6,6,65,05_22_20:20:07,0.2,0
2,-504.87863,130.14462,9.745644,18.222862,2.3326755,-1.1995713,-1.9633625,2.7768621,-7.966953,-4.7800593,-7.0388985,-1.1840577,-7.2719574,9,8,80,05_22_20:20:07,0.3,0
3,-497.90164,124.672775,8.006746,15.577965,-0.31170046,-0.17592598,-2.9201007,4.9891076,-3.7585635,4.3031015,-5.076483,9.458655,-4.56668,12,10,51,05_22_20:20:07,0.4,0
4,-505.64862,124.664925,8.287718,22.073448,5.192665,1.9124331,0.3034658,6.5092835,-0.065923035,1.016937,-3.1179938,-2.359443,-13.108013,15,13,46.7,05_22_20:20:07,0.5,0
5,-503.60507,124.19769,-3.2693038,17.504044,4.785175,-0.7004708,-0.849376,4.4996033,-2.483369,-5.27551,-7.749646,4.5710936,-8.64998,18,16,45.9,05_22_20:20:07,0.6,0
6,-487.62344,125.72711,-8.069235,28.499998,16.546543,2.8464785,0.1850096,10.960103,2.2441692,-4.242973,-4.509981,1.7479706,-10.58038,21,18,27.5,05_22_20:20:07,0.7,0
7,-474.05804,120.971466,-17.062235,39.687996,19.355576,-3.406156,-1.0547109,8.606224,-0.14563686,-1.1146271,0.8408651,2.028592,-9.259523,24,21,81.8,05_22_20:20:07,0.8,0
8,-458.90332,115.68799,-28.892653,29.49165,17.020943,-3.46698,-6.696845,4.1947083,-6.7937655,-9.558828,-1.7034248,5.8379984,-6.4078884,27,23,49.9,05_22_20:20:07,0.9,0
9,-445.41165,106.89336,-31.52055,43.038036,18.280632,2.5480843,6.0110903,9.511055,-5.1289597,4.247474,-4.366967,0.4555295,-4.850345,30,25,4.2,05_22_20:20:07,1,0
10,-428.96194,101.53991,-34.01609,39.301537,19.29536,6.2619743,-0.26936743,12.232249,7.800948,2.8362284,-3.2251523,5.264229,-4.874895,33,28,49.9,05_22_20:20:07,1.1,0
11,-419.33978,90.14609,-32.93041,54.291428,20.543167,-2.052817,-1.1559939,21.902058,-0.21128345,-1.5181127,7.4582815,9.592243,-11.08223,36,31,13.4,05_22_20:20:07,1.2,0
12,-407.87946,86.10041,-31.777615,47.6795,21.072475,-3.2992997,9.656756,17.828253,-18.962532,7.384016,12.562597,-3.8551674,-14.737481,39,33,62,05_22_20:20:07,1.3,0
13,-403.55783,87.703,-37.316,46.456467,17.500177,0.8160379,4.1353397,14.951033,-1.9007168,11.504485,0.019047022,-11.115932,-5.252715,42,36,47.5,05_22_20:20:07,1.4,0
14,-405.9195,84.79296,-27.748108,46.650135,23.740166,-0.47850502,1.4829794,16.216173,10.861931,1.7547965,-20.245705,-1.1465882,8.228943,45,38,69.1,05_22_20:20:07,1.5,0
