id,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,now_timegap,label
0,-554.23584,113.70244,-2.4143288,4.4595814,0.14543772,9.006633,7.094387,11.658125,7.5906363,8.808037,6.458259,5.1333866,-3.8034863,1,1,24.4,05_21_02:05:52,0.1,0
1,-545.64294,123.44504,2.094535,11.594656,7.501582,6.305317,0.8515293,11.337168,-1.3085942,5.2095547,3.7965617,6.418665,-0.30880994,4,4,33.2,05_21_02:05:52,0.2,0
2,-539.9669,113.158646,-2.3912587,11.712681,6.78805,2.0997362,-0.4564105,6.9106784,1.2010605,8.351629,1.1234889,3.9780765,-2.7763426,7,6,36.3,05_21_02:05:52,0.3,0
3,-542.4625,122.042786,4.686068,14.483492,4.9330254,2.7648327,2.0846992,8.989006,-2.6396086,2.1193125,1.371816,2.0979085,-2.8943558,10,9,42.7,05_21_02:05:52,0.4,0
4,-525.6953,114.59573,-12.955726,26.318388,12.671516,-0.21070059,5.409406,13.29538,-0.07677019,1.7001679,0.77494276,1.2603714,-6.019559,13,11,42,05_21_02:05:52,0.5,0
5,-486.99567,105.61797,-38.551888,37.41147,13.455851,-10.693768,4.8092284,9.247271,-10.454115,9.924493,10.86579,8.504768,6.1843038,16,14,62,05_21_02:05:52,0.6,0
6,-446.83292,89.86522,-49.96048,43.346756,15.064442,-12.921255,-4.7840734,20.313374,-0.5047607,0.91529983,-0.18478191,9.668266,-2.3035603,19,16,95.1,05_21_02:05:52,0.7,0
7,-444.76373,80.28847,-37.59522,46.12106,16.867973,-7.2175627,11.102516,13.783508,-7.5608816,14.560413,5.897147,-2.9415264,-3.2603502,22,19,57.3,05_21_02:05:52,0.8,0
8,-429.4236,84.09155,-31.108292,42.136703,16.998116,1.6322439,8.626091,8.636427,10.873795,16.177141,-4.5831327,1.1486498,7.889244,25,21,94,05_21_02:05:52,0.9,0
9,-443.8299,82.1832,-33.529724,41.34842,12.708178,6.099854,3.737496,9.764793,10.648672,12.906736,-2.4980016,3.6942046,5.601404,28,24,115.2,05_21_02:05:52,1,0
