id,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,now_timegap,label
0,-472.10184,94.27168,21.20477,10.214064,8.327711,6.004158,-0.0021989346,0.17850888,-6.9129043,4.685693,-8.015196,4.1338787,-7.41634,3,3,61,05_22_23:18:37,0.1,0
1,-485.9233,114.22716,14.79788,10.104575,6.7300696,3.6701424,2.547708,6.4525447,-9.335218,-4.622389,3.638848,2.5477614,-2.0203247,6,6,38.9,05_22_23:18:37,0.2,0
2,-481.47375,112.82557,3.123402,8.389723,5.0606346,1.775872,4.6592884,3.0725203,4.027372,1.5023237,7.7533655,4.7132254,-4.144885,9,8,52,05_22_23:18:37,0.3,0
3,-455.41766,97.67793,16.504875,8.791023,20.450687,5.0122433,-0.84087163,-0.20946708,2.3844044,10.339678,3.0657551,-3.0084813,-5.16261,12,11,87.7,05_22_23:18:37,0.4,0
4,-444.5189,109.31668,-10.700539,21.795382,18.380833,-3.285439,-0.5304731,4.270478,-1.3527589,1.5140566,4.443407,1.2748585,-6.03253,15,13,47.7,05_22_23:18:37,0.5,0
5,-420.34097,99.68346,-31.481966,32.40036,16.655327,-5.3280997,4.8951125,1.9591384,-11.385662,8.360367,-1.8081242,-4.357315,-5.60987,18,16,42.9,05_22_23:18:37,0.6,0
6,-404.74344,91.39339,-40.399574,47.26989,25.56538,-2.967105,-0.5321895,19.237614,-4.73501,5.459654,-4.813306,6.9350967,-6.1148276,21,18,104.3,05_22_23:18:37,0.7,0
7,-390.75406,73.97488,-11.312007,36.587402,24.992085,-8.145908,7.76066,18.395103,-8.827263,7.561933,10.980217,4.4670944,-12.103951,24,21,28.5,05_22_23:18:37,0.8,0
8,-397.29587,83.442,-17.576622,30.935032,19.794718,-5.9801693,-1.6509207,10.238773,-5.3422327,7.444459,5.798357,-5.6930428,-11.504907,27,23,69.4,05_22_23:18:37,0.9,0
9,-412.93958,88.90664,-27.293438,43.439423,20.362885,-2.5990458,-1.1978201,9.814333,-1.4821687,10.722524,4.1808558,-4.6232424,-4.832323,30,26,50.4,05_22_23:18:37,1,0
10,-393.72736,80.11664,-30.27246,29.251743,18.991043,4.9305243,7.443301,2.7745414,-4.058106,18.443985,3.967608,-12.481623,-4.3515596,33,28,54.4,05_22_23:18:37,1.1,0
11,-402.4003,89.68352,-35.307617,33.48362,23.45079,-2.7140584,-3.8087685,10.159588,1.8907816,20.568111,2.947802,-3.4942496,0.9606113,36,31,97.7,05_22_23:18:37,1.2,0
12,-393.60117,74.24008,-22.507877,37.915405,31.320568,2.258384,1.2622348,9.920162,-0.32206446,11.355461,-5.4175553,-3.2390704,-4.887286,39,33,82.5,05_22_23:18:37,1.3,0
13,-384.86816,89.396545,-29.947968,37.15215,20.401333,4.451758,4.3446784,11.554468,6.287262,7.924959,-11.74255,-2.57867,-1.8617308,42,36,49.5,05_22_23:18:37,1.4,0
14,-385.36758,79.367905,-23.105877,39.49948,15.880216,12.004086,1.7995864,6.1240315,2.9744592,9.843344,-5.2643237,-2.1151912,-7.5346804,45,38,72.3,05_22_23:18:37,1.5,0
15,-377.19998,83.860435,-22.007648,45.75561,21.343908,0.26446286,-4.7857847,7.4263086,-4.478076,5.832944,-11.312305,5.1063104,8.662186,48,41,63.1,05_22_23:18:37,1.6,0
16,-372.3308,97.90163,-18.815071,43.39881,19.711102,5.2982364,-4.5899606,7.886982,3.857453,5.5439787,-7.006168,1.2142148,7.618411,51,43,81.1,05_22_23:18:37,1.7,0
17,-365.65598,99.838806,-18.127909,46.23268,20.020176,3.2625484,-5.7586126,8.918674,3.1349468,10.866924,-14.151939,-8.264992,7.506166,54,46,123.9,05_22_23:18:37,1.8,0
