id,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,cur_depth_id,cur_hand_id,cur_hand_weight,data_dir,now_timegap,label
0,-455.14703,88.29445,1.7855563,8.005863,3.6568544,-11.847351,-11.753936,-8.8536,-1.4639635,17.947062,5.896115,2.6789994,-18.596165,4,2,31.8,05_21_22:24:02,0.1,0
1,-480.2598,95.09041,-4.9712925,25.462082,14.551638,4.5896425,-15.672761,1.616797,9.228674,3.9856677,4.5561814,-1.8976583,-9.803389,7,5,24.8,05_21_22:24:02,0.2,0
2,-470.6505,103.54251,-18.67831,12.771226,6.209356,2.8601294,4.1018043,-2.1364863,-5.9747543,6.174816,5.536357,8.325336,-8.133188,10,7,28.2,05_21_22:24:02,0.3,0
3,-470.4688,96.643326,-20.361113,32.22901,16.703705,-10.268774,-20.006798,3.773466,-0.8505469,6.3351326,13.9115925,7.622553,-21.732435,11,8,33.4,05_21_22:24:02,0.4,0
4,-499.11014,107.0712,-7.2515135,29.373886,15.907514,0.7582727,6.527943,-0.048941493,-12.109892,5.9559793,5.4592505,5.0453463,-3.6684468,16,11,71.3,05_21_22:24:02,0.5,0
5,-475.4101,99.9626,-14.2910385,21.272018,8.893448,2.645177,8.101292,0.9571034,-12.375994,-1.4465964,7.4356136,5.1787252,-19.469767,18,14,35,05_21_22:24:02,0.6,0
6,-457.90878,83.00844,-11.628251,32.389725,17.653263,-10.8883,16.356556,6.0422983,-7.103739,-0.615996,5.3078346,7.4740076,-13.11488,22,17,49.7,05_21_22:24:02,0.7,0
7,-435.93478,101.49658,-36.386513,47.365196,17.302206,-10.142141,-2.1941118,7.9299316,-5.112716,2.067067,-6.300777,-5.803134,-4.9259796,25,20,119.3,05_21_22:24:02,0.8,0
8,-409.64655,96.36958,-38.878082,26.082134,8.8605,-6.216596,-10.6971035,7.7466006,0.14466538,9.826134,20.6179,11.996719,-0.92516077,28,22,69.4,05_21_22:24:02,0.9,0
9,-418.23334,85.18543,-34.463608,40.17687,17.505398,-9.7620945,-0.5036982,4.550561,-7.9487305,1.5840513,8.6700535,17.953247,0.20774138,31,24,64.8,05_21_22:24:02,1,0
10,-432.93768,80.93304,-22.16898,38.459885,14.726431,-1.0009662,7.679576,10.973256,-1.3088688,11.773619,-4.320985,-8.529965,-9.18851,34,28,72.5,05_21_22:24:02,1.1,0
11,-426.67825,83.69267,-27.590916,39.725525,8.167483,-2.410024,-6.4776974,8.057002,-0.53089494,12.151665,6.8010225,-2.7464132,-1.8537366,36,29,37.3,05_21_22:24:02,1.2,0
12,-429.29456,93.984344,-23.847057,33.39363,8.747092,-3.0430684,-1.4964508,5.664277,-6.2197766,18.68643,21.855309,6.986859,-3.8636734,40,30,92.6,05_21_22:24:02,1.3,0
13,-411.43137,89.09141,-33.432198,35.71498,5.170312,-11.236256,2.0135772,9.754871,-12.998757,4.056521,10.546781,0.09494936,4.8896594,43,35,33.4,05_21_22:24:02,1.4,0
14,-418.63,75.11928,-30.163841,39.651077,10.499197,-7.9665675,4.718818,8.2661915,-11.24287,13.497436,8.431105,-8.477903,-0.68663734,46,38,82.1,05_21_22:24:02,1.5,0
15,-420.4412,84.14899,-21.766106,38.668484,12.528542,-5.5746765,-7.7585344,-0.14694715,-4.256279,14.734987,6.4541435,-0.81124395,2.295708,49,40,82.4,05_21_22:24:02,1.6,0
16,-409.16553,83.26684,-34.76014,47.38955,13.59247,-10.6373825,-4.171608,13.247941,-3.3541396,8.306126,6.5055637,-1.3216293,11.263922,52,42,69,05_21_22:24:02,1.7,0
17,-411.40033,68.70798,-32.95059,45.3808,19.512363,1.9778719,-1.8312432,11.287612,4.8059316,8.186516,-10.626449,-4.238584,9.475464,55,45,76.6,05_21_22:24:02,1.8,0
18,-406.84732,63.8182,-24.546822,48.785904,18.19992,2.6299748,-5.31845,6.9918175,1.0919318,10.611818,-4.0058994,6.286084,6.4663258,58,47,88.4,05_21_22:24:02,1.9,0
19,-418.26282,80.44971,-21.084602,48.600258,3.2130084,-5.2130075,4.179901,13.974466,1.4905722,9.450087,0.7969321,7.869419,6.2586555,61,50,71.7,05_21_22:24:02,2,0
20,-414.38434,81.825226,-19.852028,42.574036,1.077741,-12.610788,2.809641,11.998793,7.5152063,14.263477,-5.8728266,2.2490528,3.3748724,64,52,90.9,05_21_22:24:02,2.1,0
21,-399.87976,85.69944,-31.39362,39.66194,10.518541,-4.6038737,-3.1729689,6.062704,-1.8281918,5.778176,-14.407793,3.1033251,14.689119,67,55,67.7,05_21_22:24:02,2.2,0
22,-400.97797,101.1712,-20.683128,40.027367,9.056917,-1.5789204,-1.3329827,14.364195,1.972034,3.5894032,-11.914085,0.17155045,3.1282725,70,58,154.9,05_21_22:24:02,2.3,0
23,-402.72705,107.3087,-28.738354,38.61942,11.143177,-1.9538982,2.0590076,15.891535,-0.4003703,0.13765505,0.92297536,4.7097054,-0.102184296,73,60,36,05_21_22:24:02,2.4,0
24,-418.18002,103.14015,-21.3008,29.473383,-3.0577588,-6.4031506,-4.1233854,8.665667,-11.311434,6.0276947,4.3752346,-5.1245604,-9.121977,76,62,122.3,05_21_22:24:02,2.5,0
25,-415.73666,96.019516,-14.792732,40.212723,9.986147,-7.5873995,-0.29459685,9.73712,-8.526451,7.6969304,-6.8046746,-9.9928,-0.93575054,79,65,237.4,05_21_22:24:02,2.6,0
26,-399.32715,102.861,-23.220795,50.1137,18.41331,-4.9136224,-9.0530815,5.1819983,-8.773946,11.329636,-9.979681,-1.2964873,8.731527,82,67,162,05_21_22:24:02,2.7,0
