,id,cur_depth_id,cur_hand_weight,cur_hand_id,label,data_dir,now_timegap,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15
0,0,3,47.5,3,0,05_22_20:20:07,0.1,-508.25803,126.048386,11.213276,18.383163,5.3264766,-4.4345555,1.6726788,2.4203897,-2.3765235,-6.5441647,1.0899816,-4.2133784,-9.482644,-2.0220442,-4.147914,9.026751
1,1,6,65.0,6,0,05_22_20:20:07,0.2,-505.75854,130.38287,9.343849,17.786737,0.36508226,-2.558165,-1.3763311,2.4794588,-4.6355004,-2.4853847,-0.3170058,5.7187986,-4.926301,-1.2261084,-6.493538,2.749722
2,2,9,80.0,8,0,05_22_20:20:07,0.3,-504.87863,130.14464,9.745644,18.222862,2.3326755,-1.199571,-1.9633623,2.7768626,-7.966953,-4.780061,-7.0388994,-1.1840574,-7.2719574,-0.02056408,-3.8999438,6.117652
3,3,12,51.0,10,0,05_22_20:20:07,0.4,-497.90164,124.672775,8.006746,15.577965,-0.31170014,-0.17592518,-2.9201007,4.989107,-3.758564,4.3031,-5.0764832,9.458656,-4.5666804,-0.24358308,-3.5361648,4.8198605
4,4,15,46.7,13,0,05_22_20:20:07,0.5,-505.64862,124.66493,8.287718,22.073446,5.1926646,1.9124333,0.30346578,6.5092826,-0.065923184,1.0169356,-3.1179938,-2.3594425,-13.108013,-0.98505485,-6.359884,3.4037015
5,5,18,45.9,16,0,05_22_20:20:07,0.6,-503.60507,124.19769,-3.269304,17.504044,4.785175,-0.7004702,-0.8493758,4.499604,-2.4833694,-5.2755117,-7.749646,4.571093,-8.64998,-1.2266449,-6.568233,-1.3038671
6,6,21,27.5,18,0,05_22_20:20:07,0.7,-487.62344,125.72711,-8.069235,28.5,16.546545,2.8464785,0.18500976,10.960104,2.244169,-4.2429733,-4.509981,1.7479712,-10.580381,3.1501145,-1.4136701,3.7997658
7,7,24,81.8,21,0,05_22_20:20:07,0.8,-474.05804,120.97147,-17.062235,39.687996,19.355574,-3.4061556,-1.0547109,8.606223,-0.14563686,-1.1146288,0.8408649,2.028593,-9.259523,-0.6451033,-3.1421978,4.3390303
8,8,27,49.9,23,0,05_22_20:20:07,0.9,-458.90332,115.68799,-28.892653,29.491652,17.020943,-3.4669802,-6.6968446,4.19471,-6.793766,-9.558828,-1.7034247,5.837998,-6.4078884,0.3391739,-2.8319976,-2.0081065
9,9,30,4.2,25,0,05_22_20:20:07,1.0,-445.41162,106.89336,-31.520552,43.038036,18.280628,2.5480838,6.011092,9.511053,-5.1289597,4.247475,-4.3669686,0.4555297,-4.8503428,3.1718397,-2.1641848,-0.0083425045
10,10,33,49.9,28,0,05_22_20:20:07,1.1,-428.96194,101.53992,-34.01609,39.301533,19.29536,6.261974,-0.26936722,12.232248,7.8009486,2.8362274,-3.225152,5.2642293,-4.874895,4.877508,-4.2948093,2.072871
11,11,36,13.4,31,0,05_22_20:20:07,1.2,-419.33978,90.14609,-32.93041,54.291428,20.543165,-2.0528164,-1.1559939,21.90206,-0.21128345,-1.5181127,7.4582815,9.592243,-11.08223,-9.142896,-0.8210126,1.2318752
12,12,39,62.0,33,0,05_22_20:20:07,1.3,-407.87946,86.10042,-31.777615,47.679504,21.072475,-3.2992985,9.656757,17.828253,-18.962532,7.384016,12.562597,-3.8551667,-14.737479,5.9685984,-0.6635709,-7.5950923
13,13,42,47.5,36,0,05_22_20:20:07,1.4,-403.55783,87.703,-37.316,46.456467,17.500177,0.8160386,4.1353393,14.951033,-1.9007169,11.504485,0.01904726,-11.115932,-5.252715,6.9979715,-11.218467,-2.7341256
14,14,45,69.1,38,0,05_22_20:20:07,1.5,-405.9195,84.79297,-27.748108,46.65014,23.740166,-0.47850472,1.4829799,16.216173,10.861931,1.754796,-20.245705,-1.1465888,8.228943,-2.5480344,-4.965027,-0.20290124
15,15,48,82.5,41,0,05_22_20:20:07,1.6,-399.61865,79.26734,-24.754898,40.618095,26.574123,2.2647684,-1.368836,16.937866,23.772036,0.6520736,-20.798347,5.2083945,-1.0345879,-2.636396,-5.6911993,-6.269367
16,16,51,105.2,43,0,05_22_20:20:07,1.7,-399.72394,84.247696,-28.10893,48.39634,27.04537,6.6829915,-5.593428,10.846827,18.442942,-0.44865698,-14.018235,4.429225,-5.700428,-6.320999,-2.171906,-5.5311136
17,17,54,91.6,45,0,05_22_20:20:07,1.8,-417.26804,96.06714,-16.819801,38.72323,15.461105,5.9705825,0.46518373,16.012634,14.016082,-0.24825695,-14.97337,1.609808,0.22202913,-0.086587965,-7.941,2.077926
18,18,57,23.3,48,0,05_22_20:20:07,1.9,-406.6103,84.93361,-28.852476,41.69529,23.972672,5.6123767,-6.279101,11.267639,11.123485,1.9613919,-14.528362,4.535335,-1.6282401,-5.854167,-0.6261821,-3.4362736
19,19,60,47.1,51,0,05_22_20:20:07,2.0,-423.6449,97.16974,-23.431742,33.25508,18.068169,7.2062974,-4.2016144,5.271702,9.093557,8.248838,-3.5211425,4.142148,-0.07148373,3.4941592,-1.9326324,-4.453202
20,20,63,75.6,53,0,05_22_20:20:07,2.1,-420.147,91.04266,-29.130999,34.186493,19.421957,5.0954027,-6.922413,14.519627,12.518179,4.772048,-12.582102,7.6405673,3.0167785,3.5798447,-2.2164013,0.07513532
21,21,66,77.2,55,0,05_22_20:20:07,2.2,-431.8925,95.308075,-27.601303,30.219006,13.68543,11.741251,4.929039,6.172539,-4.9030766,-2.467317,7.3583326,7.650049,-12.359593,-5.36539,2.0945978,-2.4018116
22,22,69,60.8,58,0,05_22_20:20:07,2.3,-430.75443,101.986145,-28.092297,24.505577,18.87909,15.093233,7.3274894,1.5700014,-1.2493815,6.8763523,10.270327,-7.450457,-16.332687,-0.55868465,5.602941,-4.518151
23,23,72,87.6,61,0,05_22_20:20:07,2.4,-415.40555,88.966064,-33.924347,38.57041,24.620714,9.450516,-1.1984825,3.218711,3.1632857,10.863256,-6.347767,-4.3789988,-9.256926,-1.5536664,-1.5603704,5.261753
24,24,75,27.2,63,0,05_22_20:20:07,2.5,-439.75027,94.02093,-20.482506,41.307755,25.656754,10.503051,2.6334505,-5.2741957,0.7910836,6.7234745,-8.069166,-11.23271,-2.4674382,2.9758868,-1.7578266,3.409753
25,25,78,50.1,66,0,05_22_20:20:07,2.6,-414.67087,91.15805,-40.319565,36.371502,23.93341,5.5935545,-0.9909808,-4.1641736,2.435031,9.170788,-12.505239,-12.830679,-3.2403522,-2.0685234,-4.3736153,8.306725
26,26,81,102.1,68,0,05_22_20:20:07,2.7,-436.80118,89.59082,-23.602066,40.948948,23.056517,8.591017,-4.684335,2.7147226,0.17680669,-2.0313458,-15.379438,-2.9496646,2.9044776,1.6479583,-3.4578838,-2.4108558
27,27,84,48.6,71,0,05_22_20:20:07,2.8,-437.71982,90.915184,-22.841383,35.703636,19.281816,10.582421,-4.1839333,-4.215447,-0.29178885,8.322359,-14.5288315,-9.081083,-2.6544516,4.021288,-0.42967755,6.4352374
28,28,87,81.8,73,0,05_22_20:20:07,2.9,-414.54138,76.266556,-35.544327,45.40687,20.818035,7.5309477,-7.977975,6.789274,4.8895426,4.68299,-9.489229,-6.5335417,-0.5807517,0.92600816,-0.26132905,9.123758
29,29,90,69.0,76,0,05_22_20:20:07,3.0,-438.96,82.70805,-22.793848,40.372715,18.033329,6.6165533,-6.379716,2.2655,2.2502985,1.8637681,-12.973576,-3.1151435,-0.061329894,3.7496805,-6.4446497,-1.738182
30,30,93,93.2,78,0,05_22_20:20:07,3.1,-426.31073,78.29881,-30.228334,36.353333,25.250477,13.187191,-4.050434,5.8915796,9.498654,8.483814,-15.48342,-4.9232917,2.0591834,3.7791803,-5.233856,4.240672
31,31,96,106.9,81,0,05_22_20:20:07,3.2,-441.17004,77.983734,-30.563335,39.57373,15.783535,3.2144709,-1.3710915,11.359768,6.4779053,8.686026,-3.8791077,-0.112999134,1.1961389,5.155206,-4.447892,0.5961596
32,32,99,130.6,83,0,05_22_20:20:07,3.3,-423.57266,79.20906,-33.15893,39.31343,20.076439,14.481911,-1.5361832,2.2889278,6.147953,10.091696,-11.724365,-0.50919104,5.7581906,6.9713483,-1.7179105,2.5765944
33,33,102,112.8,86,0,05_22_20:20:07,3.4,-432.31015,83.813354,-21.69741,40.593082,15.446449,7.795073,-2.4603026,3.354383,4.643058,9.77276,-8.966138,-1.7892704,3.2278183,7.5808206,-5.1673737,1.3310659
34,34,104,92.3,88,0,05_22_20:20:07,3.5,-423.80356,78.72178,-40.595802,41.59466,24.817192,4.994744,-4.4749885,8.797178,7.1245227,13.460485,-9.787261,-1.5032158,7.2651587,6.7922354,2.0662723,7.072277
35,35,108,75.7,91,0,05_22_20:20:07,3.6,-436.71054,81.61247,-24.369244,44.148018,16.146572,9.406273,-2.255001,3.2274659,2.5415847,9.24597,-13.388523,-1.4459083,7.76982,9.195424,0.82498217,2.8385983
36,36,111,93.6,93,0,05_22_20:20:07,3.7,-453.13718,91.20561,-13.554171,36.221786,16.573116,8.104675,-6.3463,4.6651335,-3.7880907,3.2514427,-3.9813945,-4.4937973,-3.1537914,6.402027,1.572778,4.897825
37,37,114,83.8,96,0,05_22_20:20:07,3.8,-413.2693,75.71489,-43.978817,35.33743,15.871628,13.051744,-1.4380281,7.6930513,6.4425793,10.030674,-8.226267,1.5405331,-0.10912466,-1.4790484,1.8554204,13.978586
38,38,117,88.0,98,0,05_22_20:20:07,3.9,-443.0377,78.72644,-27.478039,42.627136,16.808662,4.424628,-0.35643256,7.7349887,8.32618,11.232964,-4.39437,2.8382273,1.3712912,7.7118874,6.347393,4.9435053
39,39,120,79.1,101,0,05_22_20:20:07,4.0,-420.8545,91.10423,-36.207954,38.8304,19.162334,11.275746,-5.403681,1.125891,6.7843,15.572405,-11.353815,0.9475582,5.437585,3.2390594,2.8278573,7.8002386
40,40,123,62.4,103,0,05_22_20:20:07,4.1,-424.5006,83.27049,-37.162098,35.93194,19.819744,10.51107,-4.333809,12.8836155,11.133346,12.9670105,-7.980173,-1.7788296,1.8889978,3.5145392,-0.20834494,6.370533
41,41,126,4.2,105,0,05_22_20:20:07,4.2,-435.47128,89.200455,-30.952665,36.331856,16.702658,9.983906,-2.686513,5.723633,-2.4828598,8.76424,-5.926461,-2.074554,1.6605293,6.6186857,-2.5630589,3.9895194
42,42,129,57.9,108,0,05_22_20:20:07,4.3,-437.84537,88.44197,-31.995144,39.941998,25.501503,12.112883,-3.8661866,-2.7711637,1.8335099,12.079838,-7.0561647,1.7545824,4.3907084,7.566495,-2.5755434,-0.6101854
43,43,132,78.4,111,0,05_22_20:20:07,4.4,-438.1805,85.43222,-32.53555,40.169586,15.952788,9.381154,0.4249037,0.9658793,-0.4245848,7.432189,-8.220436,0.599939,5.4226837,11.407421,-2.4484973,0.41421604
44,44,135,73.4,113,0,05_22_20:20:07,4.5,-450.17044,92.325325,-22.512161,36.535034,14.273619,7.990473,0.3383817,2.9404662,3.6391234,8.0146055,-9.610688,-4.3243475,-2.1724882,4.6922073,-2.2299526,4.839463
45,45,138,60.2,116,0,05_22_20:20:07,4.6,-443.34805,90.51945,-28.144302,38.513386,19.85684,11.343899,-3.1205273,1.0004867,3.7448087,12.599813,-8.619328,-5.0152597,-0.67752814,5.253113,-0.570745,9.26047
46,46,141,79.9,118,0,05_22_20:20:07,4.7,-428.0812,81.54762,-41.684616,39.68799,25.293472,9.586694,-1.6321079,6.8529453,6.775894,7.2704225,-14.278011,-5.1467757,4.5186796,5.6253576,-1.9258752,3.4701376
47,47,144,104.8,120,0,05_22_20:20:07,4.8,-418.26486,89.38144,-35.385704,33.04061,22.061432,5.40084,-2.5754752,10.938545,2.0493336,7.5577755,-6.042594,-4.6366453,0.6280459,2.6398888,-6.709384,-2.2874227
48,48,147,171.2,123,0,05_22_20:20:07,4.9,-430.0244,85.23557,-39.240936,36.183273,23.479492,7.028508,-2.7784271,8.601892,4.686569,10.052703,-10.394051,-2.25975,0.9086437,5.9247165,0.2089374,3.7103379
49,49,150,143.7,125,0,05_22_20:20:07,5.0,-440.7876,87.35361,-23.835566,38.160892,16.647999,8.974844,-1.1283162,4.825643,3.8880024,12.89948,-3.313268,0.86107653,-1.8148167,5.9116716,-7.8808837,3.5164402
50,50,153,87.8,128,0,05_22_20:20:07,5.1,-454.00266,95.02768,-19.181892,30.654526,11.316778,10.769669,4.5965614,10.132437,2.1990654,-2.5798776,-3.7812018,-3.16648,-6.5950174,3.5054743,-6.2873917,4.6559906
51,51,156,76.6,131,0,05_22_20:20:07,5.2,-433.6222,83.006714,-33.625355,38.82209,15.718109,13.312113,5.431164,3.4594445,4.517026,11.86847,-6.0459666,-3.0039017,-2.2317665,8.212959,-3.5891142,3.1558137
52,52,159,56.3,133,0,05_22_20:20:07,5.3,-465.51865,98.529785,-13.008046,35.180756,17.48145,9.433071,4.241119,5.659892,1.652931,5.60343,-1.0316588,-5.2643003,-2.6953926,8.563478,0.88179815,7.408332
53,53,162,55.4,135,0,05_22_20:20:07,5.4,-428.92358,89.738815,-30.221643,29.474018,14.147295,10.402224,6.962458,7.8176184,3.5016174,6.8010902,-9.807423,-9.287601,-2.171857,12.33274,1.8395646,7.4149933
54,54,165,70.6,138,1,05_22_20:20:07,5.5,-396.56,57.54578,-27.15793,32.54991,7.382051,15.379492,4.8882895,6.362364,1.371939,7.5874057,-7.1186275,-1.1481705,-9.915331,10.316038,-9.451573,6.404879
55,55,168,42.0,141,1,05_22_20:20:07,5.6,-414.8279,76.81972,-44.949913,32.559826,17.101545,1.3038707,3.9185183,10.6831045,3.8038409,12.275135,-0.20353422,-7.4133854,-13.567368,8.45343,-4.3189654,8.619108
56,56,171,40.1,143,1,05_22_20:20:07,5.7,-420.41977,77.23555,-33.322807,31.728836,11.5552635,8.360575,0.051111713,9.758275,0.045313835,3.6250584,-3.1433241,-0.5878626,-1.5786141,12.920714,-2.9379199,6.135479
57,57,174,79.3,146,1,05_22_20:20:07,5.8,-426.0793,85.21008,-36.78311,35.151947,18.615253,7.8062654,-0.8748579,7.020687,-1.479426,6.30311,2.2526188,-6.646828,0.8932662,14.677693,-2.2082975,5.6678724
58,58,177,43.3,148,1,05_22_20:20:07,5.9,-436.95737,93.53235,-36.869076,37.38585,27.701912,4.3685813,2.1632602,12.879655,-3.522708,7.167824,3.4055624,-6.870118,-11.009468,11.235164,1.0909435,3.1282444
59,59,4,28.8,3,0,05_22_20:20:47,0.1,-495.38672,120.36217,10.410643,15.881603,16.229164,5.814535,3.5783174,7.2193823,-0.2904408,-2.0186503,6.9794025,5.473669,6.7843204,-1.7199701,-4.690802,-1.3683344
60,60,7,38.2,6,0,05_22_20:20:47,0.2,-493.7473,118.92369,2.720958,9.994516,3.9018373,-1.2899961,-5.4849095,6.7894115,2.3292568,8.710982,4.617144,2.954274,-4.9859147,5.281245,-5.3383923,-2.0411677
61,61,10,53.9,8,0,05_22_20:20:47,0.3,-487.84186,119.70632,3.7337043,15.173851,6.346817,2.4669094,7.068055,13.348018,1.7263451,4.295493,3.123077,4.599783,-0.08658266,6.1777472,-3.78821,3.7240415
62,62,13,45.7,11,0,05_22_20:20:47,0.4,-494.24286,119.57335,5.3383427,16.85814,7.011143,-0.029007435,0.12568747,7.7714677,-3.0643845,6.3047986,2.9884048,5.568486,-2.7448823,-0.26066387,-7.16933,5.528447
63,63,16,21.7,13,0,05_22_20:20:47,0.5,-485.47177,126.88811,5.165714,11.6411,6.589798,-0.049085498,3.834168,10.965637,1.1645827,5.784113,4.426573,7.7415333,-3.891552,4.0112486,-6.655115,1.6086079
64,64,19,50.1,16,0,05_22_20:20:47,0.6,-491.8191,119.70386,5.340626,15.927724,2.906059,1.864888,-1.9490304,11.642051,8.891672,1.3345916,5.671076,5.791914,-7.350218,-3.0421662,-6.294942,2.4008083
65,65,22,49.9,18,0,05_22_20:20:47,0.7,-489.2179,120.08236,2.358923,17.26669,6.794443,-1.3124208,0.18121374,8.240255,4.22205,0.9112909,4.218892,6.03329,-1.2749403,5.839967,-3.707388,6.556161
66,66,25,56.8,21,0,05_22_20:20:47,0.8,-491.44913,119.23985,1.0716543,18.22125,13.329582,3.4013278,0.37286773,6.0795856,1.7481328,7.8917584,7.246676,5.5493326,-4.284046,9.489908,-3.0213194,7.4130573
67,67,28,18.0,23,0,05_22_20:20:47,0.9,-476.1424,126.10823,-2.9160233,15.981772,6.701847,-1.4034019,2.3548827,5.9432077,4.796633,11.783516,1.2212223,-0.7264559,-4.6270943,8.22683,-3.5783048,0.2923727
68,68,31,40.1,26,0,05_22_20:20:47,1.0,-468.69876,121.79855,-9.48022,25.40743,16.592018,0.8853874,4.1856546,15.392464,3.1201258,1.6132233,3.0171676,8.203081,-2.8318114,7.227581,1.1518974,4.6700754
69,69,34,54.6,28,0,05_22_20:20:47,1.1,-453.765,116.32681,-19.462517,31.876451,19.927303,-0.98305035,0.73216915,15.207083,6.661953,5.4524155,5.3066273,5.6157966,-5.762754,5.9593425,-1.5224012,1.284159
70,70,37,62.7,31,0,05_22_20:20:47,1.2,-441.3042,107.803734,-25.71574,40.198364,17.778778,-5.9943347,-0.9903251,10.271627,-3.2337933,5.5774794,1.6140366,7.837759,-2.0110118,2.2890055,4.2001853,2.4693646
71,71,40,56.8,33,0,05_22_20:20:47,1.3,-427.25916,102.97569,-36.479294,38.671616,13.787297,-6.4638643,6.4425516,21.465752,2.3377218,10.65655,5.980163,1.5442349,-3.4831562,9.930313,1.6273531,-4.6142426
72,72,43,42.7,36,0,05_22_20:20:47,1.4,-408.38898,98.66876,-33.432743,53.199596,15.966175,-11.608301,5.956744,18.153442,-8.22123,6.1151495,3.269347,4.710784,0.13371414,9.682713,-0.9516573,0.8293326
73,73,46,33.2,38,0,05_22_20:20:47,1.5,-400.60577,92.721085,-38.989754,49.07112,20.189178,-7.1143904,-2.9678726,15.617326,6.3416514,13.947933,-1.5076036,5.5908294,-4.237156,9.23602,6.3510838,3.9346046
74,74,49,43.5,41,0,05_22_20:20:47,1.6,-382.39868,91.4612,-41.5197,42.666115,22.283394,-5.692949,1.6593595,25.710972,2.0559847,0.3415327,-1.2999187,12.813539,3.4028983,2.686604,-1.7498544,-0.72286916
75,75,52,81.1,43,0,05_22_20:20:47,1.7,-376.97638,79.68112,-40.02437,44.019314,15.180815,-0.9419993,13.203701,21.474009,-3.4218063,4.462918,9.509687,8.333471,-10.767571,5.2650423,12.564051,11.022043
76,76,55,49.9,46,0,05_22_20:20:47,1.8,-372.58347,75.513855,-38.55252,33.82248,14.290253,0.5794796,2.0424602,12.763672,0.8845865,10.885508,-2.803472,-3.6045954,-6.1700673,10.803463,3.9359984,9.527094
77,77,58,30.9,48,0,05_22_20:20:47,1.9,-376.16907,73.66581,-39.89849,42.977325,17.42563,-3.2968252,1.4691625,15.722547,15.127755,9.263295,-13.577657,4.262164,7.2844915,7.0563526,3.8166502,2.6651564
78,78,61,71.3,51,0,05_22_20:20:47,2.0,-378.6937,86.69391,-32.276886,35.39023,13.101954,2.5958848,1.160604,16.174793,17.907528,6.7778573,-11.563341,8.900457,-1.4714653,3.1419299,2.8285317,1.2625868
79,79,64,59.3,53,0,05_22_20:20:47,2.1,-393.22223,86.9642,-26.621935,37.34897,15.184113,11.848264,0.47620142,6.046721,22.298996,7.3156395,-5.2921944,18.529903,1.636475,-2.42078,-5.1359677,0.786235
80,80,67,134.2,56,0,05_22_20:20:47,2.2,-386.11282,83.969246,-30.868053,36.17836,21.750381,2.475673,-8.099971,6.5643616,15.121488,-0.893369,-10.615402,17.042265,11.467972,-4.8454895,-0.80324185,1.5441886
81,81,70,77.5,58,0,05_22_20:20:47,2.3,-395.30954,85.31436,-28.909729,41.89144,19.284124,1.9645009,-4.9633546,8.606327,29.602661,12.415316,-17.905529,12.47195,9.388617,-3.9282477,0.18334246,4.0730777
82,82,73,54.2,61,0,05_22_20:20:47,2.4,-390.54105,85.29451,-36.678024,42.235268,15.8450985,-1.1038425,-2.1762304,7.5274096,13.885251,6.792824,-3.2468207,16.91511,4.369316,-2.455202,1.6316967,0.52785957
83,83,76,105.4,63,0,05_22_20:20:47,2.5,-383.53006,74.29122,-38.663803,53.77307,22.49899,5.185663,0.16090882,2.804633,16.87732,7.9819164,-7.5573654,9.7042055,7.0999646,-3.5827527,0.6916096,2.1472344
84,84,79,74.3,66,0,05_22_20:20:47,2.6,-393.03644,88.650536,-36.373466,45.908337,22.466362,3.4844,-2.9003458,6.444627,11.153564,-0.63790643,-11.230698,9.321477,7.29959,2.1308732,-10.338018,4.8831644
85,85,82,66.2,68,0,05_22_20:20:47,2.7,-394.33908,85.22427,-32.25791,50.255238,16.13461,-7.453711,-4.56104,27.027569,5.075487,-6.050497,-0.7144799,10.978401,1.3500593,-0.5044358,10.78256,6.4431925
86,86,85,34.5,71,0,05_22_20:20:47,2.8,-393.9442,81.87634,-36.52028,48.32457,22.906288,-1.417472,0.48694658,10.793906,0.15020406,-0.11940483,3.7664053,10.551512,-3.4729545,6.769102,9.219152,0.6789988
87,87,88,67.7,73,0,05_22_20:20:47,2.9,-397.86075,81.46117,-32.93457,47.11652,20.678131,2.2165885,0.45624763,2.0601625,3.693712,10.681708,-0.18529844,2.7282448,-8.083922,3.6079116,0.26022154,7.5749655
88,88,91,75.6,76,0,05_22_20:20:47,3.0,-402.5135,83.576836,-36.651764,44.43288,17.905088,-0.8548527,-0.14855552,3.636184,5.7866206,13.250101,-1.2292407,-8.649673,-2.2474234,5.8539257,0.11248654,6.0152693
89,89,94,62.7,78,0,05_22_20:20:47,3.1,-405.56793,72.620514,-36.575974,46.841377,20.182129,6.696183,4.356146,5.760064,10.773754,16.721008,-3.166442,5.835884,-1.3040571,-5.155121,-6.066133,11.963215
90,90,97,38.9,81,0,05_22_20:20:47,3.2,-409.5291,83.7144,-25.920134,43.43174,18.549057,4.4107685,-1.3747063,8.081186,6.3584175,3.6875587,-5.8932085,2.819694,8.328718,3.317821,-4.04172,1.3015448
91,91,100,56.0,83,0,05_22_20:20:47,3.3,-396.0871,69.78975,-36.871933,38.964657,18.553627,5.7747717,0.7527611,11.017683,10.949642,1.9727057,-12.742695,7.4150896,9.418293,2.10469,3.409934,7.1257133
92,92,103,90.5,86,0,05_22_20:20:47,3.4,-409.59158,76.77302,-22.423885,45.9675,20.362825,5.497027,3.4319267,10.565136,13.522699,6.19768,-7.4428654,8.9699955,5.2101564,-6.5245805,-0.574957,-4.828074
93,93,106,48.2,88,0,05_22_20:20:47,3.5,-387.68246,71.22061,-36.540867,45.999092,25.232403,1.4211713,-7.3863378,5.0753064,10.743197,6.7714367,-10.629637,-0.2749474,5.029535,-5.9054937,1.414968,-2.4902296
94,94,109,49.9,91,0,05_22_20:20:47,3.6,-402.97485,78.865875,-29.470291,47.498055,26.837418,4.339704,-0.5790397,4.5139484,13.69265,8.38903,-13.849163,1.5643885,6.8847933,-7.4886694,-0.7600885,-1.4135499
95,95,112,99.6,93,0,05_22_20:20:47,3.7,-391.49347,82.12629,-32.69154,48.453163,23.39106,-0.23499092,-6.055406,4.033237,10.233509,-2.4152422,-15.355213,1.9858968,7.741966,-0.3091498,6.2525597,-4.598117
96,96,115,62.7,96,0,05_22_20:20:47,3.8,-393.90686,71.073135,-29.59365,47.967484,29.394218,-1.2319393,-1.669313,13.824272,10.827686,0.46790433,-15.166252,4.189574,6.935414,-4.4369664,0.685622,-3.117012
97,97,118,54.7,98,0,05_22_20:20:47,3.9,-407.93854,75.9389,-28.605236,43.255775,25.205374,-0.6393361,-2.789575,9.533512,16.82835,5.8212447,-13.026279,6.343374,4.6887083,-6.700844,2.5668247,-3.5553691
