,id,cur_depth_id,cur_hand_weight,cur_hand_id,label,data_dir,now_timegap,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15
25,25,79,51.3,67,0,10_11_20:20:05,2.7,-372.7901,115.42412,2.453373,11.053222,6.859592,3.7149606,3.6602542,4.57663,-6.4724407,-3.5811996,-1.4130194,2.8152452,-3.560633,5.9727783,-2.670245,2.2589233
26,26,82,57.9,69,0,10_11_20:20:05,2.8,-370.04706,116.280754,0.26995414,13.302351,9.492966,4.677676,7.2351465,10.601696,-5.7236395,-0.529872,-1.8157254,1.0570729,-2.4325461,10.927313,2.3972554,6.5371666
27,27,85,53.9,72,0,10_11_20:20:05,2.9,-368.50317,116.29185,-3.7308486,11.880077,10.043845,4.2640715,2.129044,6.2793603,-4.126774,3.6483855,-3.2799873,2.5523186,0.9333081,4.9598947,-2.0637486,5.144722
28,28,88,45.9,74,0,10_11_20:20:05,3.0,-365.78442,120.005035,3.0725477,12.286274,6.573311,2.6263208,3.7984438,7.3103395,-4.803648,1.2210368,-2.8394716,6.2808113,-1.0712092,4.6004686,-0.91657484,1.7865636
29,29,91,42.7,77,0,10_11_20:20:05,3.1,-372.85388,117.54138,1.7217625,19.014698,10.336306,6.6115937,4.5045934,8.213394,-5.121826,1.6942204,-3.0317597,5.186495,-1.026669,4.3531404,-3.5884707,6.0859327
30,30,94,59.3,79,0,10_11_20:20:05,3.2,-364.7712,118.72704,1.5547032,10.97248,4.880643,-2.3216825,-4.770091,7.4502316,1.7901055,2.7641516,-3.7542725,-0.3400039,-4.070856,-0.4227546,-4.7146034,3.03612
31,31,97,51.1,82,0,10_11_20:20:05,3.3,-373.5629,112.046906,-7.260005,10.673767,10.809048,5.1908784,2.408957,8.008495,-4.7560596,3.1689196,-6.002057,0.38046685,-3.7158704,3.1191788,-9.068681,-2.5344324
32,32,100,44.3,84,0,10_11_20:20:05,3.4,-370.95847,116.77965,-1.0868134,10.91169,6.1146946,3.9594903,3.0003328,1.483124,-4.284686,-0.18714702,-1.2671797,5.064367,-2.9584594,7.840724,-5.989976,1.8154535
33,33,103,73.8,87,0,10_11_20:20:05,3.5,-370.70062,118.827805,2.3775697,13.555281,6.210774,-2.3700228,4.4825506,12.475243,0.6472045,2.636318,1.5553936,1.0730152,-4.7183895,5.9783125,3.191709,7.1297255
34,34,106,24.4,89,0,10_11_20:20:05,3.6,-367.94592,121.2899,3.2589498,11.794903,13.201853,5.916554,6.9120016,6.6437416,-5.2692947,0.11996782,-2.7422628,2.4553027,-4.2754593,6.585765,-0.029017936,3.187133
