,id,cur_depth_id,cur_hand_weight,cur_hand_id,label,data_dir,now_timegap,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15
0,0,3,54.7,2,0,05_23_03:00:07,0.1,-400.47552,87.416016,28.51954,34.729797,11.45591,5.1277304,-9.789924,0.113747805,-11.452309,7.1623716,-10.505145,-13.751207,-17.6413,-5.031844,-13.275328,-12.013351
1,1,6,46.9,5,0,05_23_03:00:07,0.2,-449.20325,88.56453,6.5175653,22.512526,2.4900265,3.5888958,-9.9539585,-5.3323846,-10.172422,5.393813,-5.6245956,-5.202142,-10.404289,-3.0134869,-9.53727,-8.780524
2,2,10,30.3,8,0,05_23_03:00:07,0.3,-459.80374,97.13258,-0.3024872,31.258808,13.660791,2.2958052,-2.3977954,-3.3745365,-5.5332994,5.6922245,-6.800018,-1.5659289,-6.8111672,-1.6433834,-16.548779,-15.415166
3,3,13,41.2,10,0,05_23_03:00:07,0.4,-430.60626,99.86546,5.129413,26.753128,11.218098,0.96673024,-10.167771,-2.0957637,-10.379619,1.6533492,-10.17397,-4.4451585,-15.251268,-0.42352057,-13.123979,-20.796167
4,4,16,40.3,13,0,05_23_03:00:07,0.5,-448.33267,109.22417,1.7580838,26.856731,9.721441,-4.7607946,-6.021409,-3.4653187,-6.2280936,8.70281,-2.9763482,-4.2882514,-11.370398,1.4092734,-12.829959,-18.115898
5,5,19,22.9,15,0,05_23_03:00:07,0.6,-401.5758,97.03925,9.3155575,32.18584,-0.40692204,1.8507819,-8.499771,-10.469196,-15.041254,0.20423305,-2.9438295,-6.9759426,-15.394543,-0.28300983,-17.28662,-16.49649
6,6,22,51.1,17,0,05_23_03:00:07,0.7,-439.90146,108.442474,10.113419,22.339132,0.3599288,-2.6448126,-7.8065777,0.4296955,-3.6577501,5.175511,-0.34313583,3.005374,-9.959903,-1.1794821,-10.237358,-9.228287
7,7,25,42.0,20,0,05_23_03:00:07,0.8,-462.45688,110.32167,11.172617,30.092045,11.426685,0.6061197,-3.9440365,1.7704439,-4.994116,2.3761568,-1.5120035,2.3483067,-11.213011,-3.302164,-10.640409,-5.962322
8,8,27,55.5,23,0,05_23_03:00:07,0.9,-432.88745,107.185486,19.719128,33.987595,15.552632,4.941726,-7.147524,-0.29671973,-8.800081,5.790414,-7.161503,-5.880122,-9.551167,5.4831915,-9.518246,-10.760603
9,9,31,78.2,25,0,05_23_03:00:07,1.0,-452.02133,112.81833,12.833494,31.54581,15.651749,3.9554064,-2.732236,-0.40358913,-7.7247868,4.7850194,-8.522062,-0.73216605,-8.299747,1.9497736,-9.350515,-10.470058
10,10,34,71.2,28,0,05_23_03:00:07,1.1,-409.52264,108.52231,7.3148704,25.42152,10.221352,5.4029965,-5.3961916,-5.806507,-13.67947,3.66446,-7.9696474,-3.8253412,-11.348845,5.742852,-5.278223,-17.78369
11,11,36,57.1,30,0,05_23_03:00:07,1.2,-445.47937,108.24013,14.344603,29.036617,13.8988,9.281731,-0.55748796,-1.1834874,-11.717754,-1.1727383,-1.5076431,1.4780854,-12.526787,-2.2936306,-8.926077,-5.5340977
12,12,40,19.0,33,0,05_23_03:00:07,1.3,-409.07394,80.43677,5.878104,24.90807,18.87843,7.301193,10.367752,-5.2228937,0.3278655,3.2606518,-2.607688,-12.0954275,-15.695793,-1.0611743,-10.02581,-10.465204
13,13,41,53.9,35,0,05_23_03:00:07,1.4,-457.67944,87.6541,17.754936,31.139233,13.776564,1.8109623,-5.8310776,3.033214,0.12178385,7.2868786,-2.0252023,0.7795544,-7.2235804,-2.1715105,-10.630014,-10.486213
14,14,46,52.0,38,0,05_23_03:00:07,1.5,-435.18002,84.20823,7.308103,14.143591,15.139047,-1.4714742,0.6759589,-3.7417707,-1.4644287,8.422871,3.775128,-6.4524612,-3.071948,2.8675537,-6.7715125,-6.277463
