,id,cur_depth_id,cur_hand_weight,cur_hand_id,label,data_dir,now_timegap,mfcc00,mfcc01,mfcc02,mfcc03,mfcc04,mfcc05,mfcc06,mfcc07,mfcc08,mfcc09,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15
25,25,78,63.9,66,0,05_22_14:48:48,2.6,-478.42023,105.57631,-8.126576,31.299273,20.941898,2.9628427,0.44506156,3.3405888,-11.500771,1.0636814,-4.9511113,-2.277751,-7.2414846,15.246406,-0.10121369,-2.749817
26,26,81,108.4,68,0,05_22_14:48:48,2.7,-448.17383,91.373055,-4.9675555,29.287273,19.29937,6.803431,-3.9553308,5.532258,-1.9314432,14.377655,-12.599663,-2.4100552,-2.4624507,9.547909,-0.9777366,-2.9526837
27,27,84,96.5,71,0,05_22_14:48:48,2.8,-442.16025,74.24386,0.8390615,26.271355,26.184673,6.194618,2.162005,3.4288929,-0.9983918,11.70051,-13.417127,-5.8601346,1.2306414,-3.6910079,1.2231331,7.403373
28,28,87,66.5,73,0,05_22_14:48:48,2.9,-440.57214,73.95375,5.8292866,19.656189,23.178905,11.999241,2.906159,5.221506,1.4774005,12.813618,-11.441805,0.099200726,-1.7868197,0.33031917,1.8010678,-1.1893897
29,29,90,223.3,75,0,05_22_14:48:48,3.0,-452.23575,65.18753,-6.242574,25.709349,19.688564,13.803178,1.3748065,4.7651577,5.7268343,5.2130527,-25.985455,7.21599,1.6805382,4.750061,4.2480316,-0.12668443
30,30,93,110.8,78,0,05_22_14:48:48,3.1,-490.49603,105.618164,-0.05594092,30.763412,13.639048,5.0933867,-3.3765333,-7.920868,-0.8285159,6.533863,-17.512531,-2.7381601,-10.250716,2.3352904,5.0194983,3.8027663
31,31,96,138.4,81,0,05_22_14:48:48,3.2,-469.2293,78.360214,-7.9661016,27.95306,26.427536,10.770469,3.5203881,-4.69287,-1.6176059,5.4601827,-24.27193,-3.5439153,-7.5817947,3.8750062,1.9738812,9.075388
32,32,99,140.5,83,0,05_22_14:48:48,3.3,-490.6385,83.07123,11.386553,23.33165,17.22325,5.3025856,0.9247711,4.382246,-0.15516841,7.6541805,-21.470734,0.29721105,2.0694833,7.6827664,-8.931025,0.49072513
33,33,102,61.4,86,0,05_22_14:48:48,3.4,-489.505,82.27062,-10.84845,37.365818,26.99659,-1.5599862,2.9339485,3.6581802,2.508891,4.850651,-11.613046,-13.934377,-2.5365286,17.018826,5.50156,6.8835993
34,34,105,95.0,88,0,05_22_14:48:48,3.5,-466.23453,41.962498,25.352629,-4.2610097,40.768116,-3.0150535,2.1744342,5.43472,-12.678877,3.488305,-4.409662,-0.92021364,-2.100933,5.9798546,-0.7742609,8.929009
